,Cruise,Project.Name,Year,Region,Status,Location,Location.Site,Location.Site.Depth,Site,Op.Depth,Op.Site,Gear,Depth,Opcode,Genus.Species,Length,Opcode.No.Year
3888,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Pelsaert,Pelsaert.c,Pelsaert.c.D,Stick.Is.,D,c,sBRUVS,24,8PFD3c,Echeneis.naucrates,348.1,PFD3c
3889,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Pelsaert,Pelsaert.c,Pelsaert.c.D,Stick.Is.,D,c,sBRUVS,24,8PFD3c,Chrysophrys.auratus,662.9,PFD3c
3890,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Pelsaert,Pelsaert.c,Pelsaert.c.D,Stick.Is.,D,c,sBRUVS,24,8PFD3c,Pentapodus.nagasakiensis,95.8,PFD3c
3891,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Pelsaert,Pelsaert.c,Pelsaert.c.D,Stick.Is.,D,c,sBRUVS,24,8PFD3c,Pentapodus.nagasakiensis,105.9,PFD3c
3892,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Pelsaert,Pelsaert.c,Pelsaert.c.D,Stick.Is.,D,c,sBRUVS,24,8PFD3c,Pentapodus.nagasakiensis,113.2,PFD3c
3893,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Pelsaert,Pelsaert.c,Pelsaert.c.D,Stick.Is.,D,c,sBRUVS,24,8PFD3c,Pentapodus.nagasakiensis,118.3,PFD3c
3895,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Pelsaert,Pelsaert.c,Pelsaert.c.D,Stick.Is.,D,c,sBRUVS,24,8PFD3c,Scombridae.spp,595.6,PFD3c
4093,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,MPA,Easter,Easter.a,Easter.a.S,Leo's.Is.,S,a,sBRUVS,10,8ERS5,Chaetodon.assarius,65.2,ERS5
4094,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,MPA,Easter,Easter.a,Easter.a.S,Leo's.Is.,S,a,sBRUVS,10,8ERS5,Chaetodon.plebeius,95.9,ERS5
4095,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,MPA,Easter,Easter.a,Easter.a.S,Leo's.Is.,S,a,sBRUVS,10,8ERS5,Choerodon.rubescens,413.1,ERS5
4096,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,MPA,Easter,Easter.a,Easter.a.S,Leo's.Is.,S,a,sBRUVS,10,8ERS5,Kyphosus.cornelii,332.1,ERS5
