Species.Name,CAP Correlation,Percentage of Sites,Body Size Class,,,,,
Amphiprion clarkii,-0.112538808,0.230769231,Small,34 to 67 ,,,,
Apogon rueppellii,-0.327283416,0.153846154,Small,34 to 67 ,,,,
Apogon spp.,0.152425736,0.153846154,Small,34 to 67 ,,,,
Austrolabrus maculatus,-0.327283416,0.153846154,Small,34 to 67 ,,,,
Chaetodon assarius,0.039393717,0.230769231,Small,34 to 67 ,,,,
Chaetodon plebeius,0.146430739,0.153846154,Small,34 to 67 ,,,,
Chromis viridis,-0.339694609,0.153846154,Small,34 to 67 ,,,,
Chromis westaustralis,0.327771348,0.769230769,Small,34 to 67 ,,,,
Cirrhilabrus temminckii,0.016304371,0.153846154,Small,34 to 67 ,,,,
Coris auricularis,0.171938161,0.307692308,Small,34 to 67 ,,,,
Dascyllus aruanus,-0.305535441,0.230769231,Small,34 to 67 ,,,,
Dascyllus reticulatus,-0.053993749,0.153846154,Small,34 to 67 ,,,,
Labroides dimidiatus,0.016304371,0.153846154,Small,34 to 67 ,,,,
Parupeneus spilurus,0.265470776,0.230769231,Small,34 to 67 ,,,,
Pentapodus nagasakiensis,-0.70917394,0.384615385,Small,34 to 67 ,,,,
Pentapodus vitta,0.016304371,0.153846154,Small,34 to 67 ,,,,
Pomacentrus milleri,-0.316847703,0.461538462,Small,34 to 67 ,,,,
Stegastes obreptus,-0.387485272,0.153846154,Small,34 to 67 ,,,,
Stethojulis strigiventer,0.154566872,0.153846154,Small,34 to 67 ,,,,
Suezichthys cyanolaemus,0.016304371,0.153846154,Small,34 to 67 ,,,,
Trachinops brauni,-0.528580212,0.153846154,Small,34 to 67 ,,,,
Abudefduf bengalensis,-0.458966271,0.230769231,Medium,105 to 299,,,,
Abudefduf sexfasciatus,-0.436217931,0.230769231,Medium,105 to 299,,,,
Abudefduf vaigiensis,-0.455841361,0.230769231,Medium,105 to 299,,,,
Acanthurus grammoptilus,-0.034782462,0.153846154,Medium,105 to 299,,,,
Anampses geographicus,-0.361137368,0.153846154,Medium,105 to 299,,,,
Anoplocapros robustus,-0.244634052,0.153846154,Medium,105 to 299,,,,
Antennarius hispidus,-0.201810965,0.076923077,Medium,105 to 299,,,,
Apogonidae sp1,0.240586457,0.076923077,Medium,105 to 299,,,,
Austrolabrus maculatus,-0.097099322,0.076923077,Medium,105 to 299,,,,
Bodianus axillaris,-0.441178363,0.153846154,Medium,105 to 299,,,,
Bodianus bilunulatus,-0.350679756,0.230769231,Medium,105 to 299,,,,
Bodianus frenchii,-0.475502835,0.384615385,Medium,105 to 299,,,,
Caesioscorpis theagenes,-0.201810965,0.076923077,Medium,105 to 299,,,,
Centropyge tibicen,0.216060224,0.076923077,Medium,105 to 299,,,,
Cephalopholis miniata,-0.518767344,0.153846154,Medium,105 to 299,,,,
Chaetodon assarius,-0.562278152,0.461538462,Medium,105 to 299,,,,
Chaetodon aureofasciatus,-0.133824186,0.076923077,Medium,105 to 299,,,,
Chaetodon auriga,-0.211172037,0.384615385,Medium,105 to 299,,,,
Chaetodon lunula,-0.095376586,0.846153846,Medium,105 to 299,,,,
