Species.Name,CAP Correlation,Percentage of Sites,Body Size Class,Length Range
Amphiprion clarkii,-0.324856964,0.230769231,Small,34 to 67 
Apogon rueppellii,-0.227078907,0.153846154,Small,34 to 67 
Apogon spp,0.080252446,0.153846154,Small,34 to 67 
Austrolabrus maculatus,-0.420805527,0.153846154,Small,34 to 67 
Chaetodon assarius,0.114808399,0.230769231,Small,34 to 67 
Chaetodon plebeius,0.080252446,0.153846154,Small,34 to 67 
Chromis viridis,-0.227078907,0.153846154,Small,34 to 67 
Chromis westaustralis,0.084822032,0.769230769,Small,34 to 67 
Cirrhilabrus temminckii,0.080252446,0.153846154,Small,34 to 67 
Coris auricularis,-0.080848521,0.307692308,Small,34 to 67 
Dascyllus aruanus,0.108821537,0.230769231,Small,34 to 67 
Dascyllus reticulatus,0.080252446,0.153846154,Small,34 to 67 
Labroides dimidiatus,0.080252446,0.153846154,Small,34 to 67 
Parupeneus spilurus,0.111406462,0.230769231,Small,34 to 67 
Pentapodus nagasakiensis,-0.235958378,0.384615385,Small,34 to 67 
Pentapodus vitta,-0.227078907,0.153846154,Small,34 to 67 
Pomacentrus milleri,0.175308017,0.461538462,Small,34 to 67 
Stegastes obreptus,0.080252446,0.153846154,Small,34 to 67 
Stethojulis strigiventer,0.080252446,0.153846154,Small,34 to 67 
Suezichthys cyanolaemus,-0.227078907,0.153846154,Small,34 to 67 
Trachinops brauni,0.280133741,0.153846154,Small,34 to 67 
Abudefduf bengalensis,0.235035637,0.230769231,Medium,105 to 299
Abudefduf sexfasciatus,-0.031687148,0.230769231,Medium,105 to 299
Abudefduf vaigiensis,0.126204038,0.230769231,Medium,105 to 299
Acanthurus grammoptilus,-0.18292218,0.153846154,Medium,105 to 299
Anampses geographicus,-0.062842661,0.153846154,Medium,105 to 299
Anoplocapros robustus,0.031260144,0.153846154,Medium,105 to 299
Antennarius hispidus,-0.108208501,0.076923077,Medium,105 to 299
Apogonidae sp1,0.170093645,0.076923077,Medium,105 to 299
Austrolabrus maculatus,0.085652513,0.076923077,Medium,105 to 299
Bodianus axillaris,-0.292482745,0.153846154,Medium,105 to 299
Bodianus bilunulatus,-0.371196093,0.230769231,Medium,105 to 299
Bodianus frenchii,0.365690716,0.384615385,Medium,105 to 299
Caesioscorpis theagenes,-0.110318472,0.076923077,Medium,105 to 299
Centropyge tibicen,0.187817437,0.076923077,Medium,105 to 299
Cephalopholis miniata,-0.243786225,0.153846154,Medium,105 to 299
Chaetodon assarius,-0.175317949,0.461538462,Medium,105 to 299
Chaetodon aureofasciatus,-0.17027985,0.076923077,Medium,105 to 299
Chaetodon auriga,-0.152967797,0.384615385,Medium,105 to 299
Chaetodon lunula,0.404932669,0.846153846,Medium,105 to 299
Chaetodon plebeius,-0.037710147,0.615384615,Medium,105 to 299
Chaetodon speculum,-0.208590125,0.076923077,Medium,105 to 299
Chaetodon trifascialis,-0.020910932,0.153846154,Medium,105 to 299
Chaetodontoplus personifer,-0.263862814,0.538461538,Medium,105 to 299
Cheilodactylus gibbosus,-0.108208501,0.076923077,Medium,105 to 299
Chelmonops curiosus,-0.124063429,0.461538462,Medium,105 to 299
Chlorurus microrhinos,-0.14094123,0.153846154,Medium,105 to 299
Chlorurus sordidus,0.026493373,0.923076923,Medium,105 to 299
Choerodon cauteroma,-0.138903297,0.076923077,Medium,105 to 299
Choerodon jordani,-0.018688872,0.307692308,Medium,105 to 299
Choerodon rubescens,0.019257336,0.923076923,Medium,105 to 299
Chromis westaustralis,-0.076146168,0.384615385,Medium,105 to 299
Chrysophrys auratus,0.085507343,0.538461538,Medium,105 to 299
