Row Labels,Sum of Amphiprion.clarkii,Sum of Apogon.rueppellii,Sum of Apogon.spp,Sum of Austrolabrus.maculatus,Sum of Chaetodon.plebeius,Sum of Chaetodon.assarius,Sum of Chromis.viridis,Sum of Chromis.westaustralis,Sum of Cirrhilabrus.temminckii,Sum of Coris.auricularis,Sum of Dascyllus.aruanus,Sum of Dascyllus.reticulatus,Sum of Labroides.dimidiatus,Sum of Parupeneus.spilurus,Sum of Pentapodus.nagasakiensis,Sum of Pentapodus.vitta,Sum of Pomacentrus.milleri,Sum of Stegastes.obreptus,Sum of Stethojulis.strigiventer,Sum of Suezichthys.cyanolaemus,Sum of Trachinops.brauni
Beacon.Is.,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Coral.Patches,0,0,0,0,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
Dive.Trail,0,0,0,0,0,0,0,7,0,4,0,0,0,1,0,0,1,0,0,0,0
Fish.Point,0,0,1,0,0,0,0,4,0,1,0,0,0,1,0,1,2,0,0,1,0
Leo's.Is.,1,0,0,0,0,1,0,25,0,0,1,0,0,0,0,0,0,0,1,0,0
Long.Is.,0,0,0,0,0,0,0,8,1,0,0,0,1,0,1,0,0,0,0,0,0
Newman.Is.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Rat.Is.,0,0,0,0,0,1,1,1,0,0,2,0,0,0,5,0,2,1,0,0,0
Stick.Is.,1,1,0,0,0,0,0,7,0,1,0,0,0,0,25,0,0,0,0,0,0
Suomi.Is.,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
Wann.Is.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Whale.Bay,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Woody.Is.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0
Grand Total,2,1,1,1,1,2,1,100,1,6,3,1,1,2,38,1,7,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Row Labels,Sum of Amphiprion.clarkii,Sum of Apogon.rueppellii,Sum of Apogon.spp,Sum of Austrolabrus.maculatus,Sum of Chaetodon.plebeius,Sum of Chaetodon.assarius,Sum of Chromis.viridis,Sum of Chromis.westaustralis,Sum of Cirrhilabrus.temminckii,Sum of Coris.auricularis,Sum of Dascyllus.aruanus,Sum of Dascyllus.reticulatus,Sum of Labroides.dimidiatus,Sum of Parupeneus.spilurus,Sum of Pentapodus.nagasakiensis,Sum of Pentapodus.vitta,Sum of Pomacentrus.milleri,Sum of Stegastes.obreptus,Sum of Stethojulis.strigiventer,Sum of Suezichthys.cyanolaemus,Sum of Trachinops.brauni
Beacon.Is.,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Coral.Patches,0,0,0,0,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
Dive.Trail,0,0,0,0,0,0,0,7,0,4,0,0,0,1,0,0,1,0,0,0,0
Fish.Point,0,0,1,0,0,0,0,4,0,1,0,0,0,1,0,1,2,0,0,1,0
Leo's.Is.,1,0,0,0,0,1,0,25,0,0,1,0,0,0,0,0,0,0,1,0,0
Long.Is.,0,0,0,0,0,0,0,8,1,0,0,0,1,0,1,0,0,0,0,0,0
Newman.Is.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Rat.Is.,0,0,0,0,0,1,1,1,0,0,2,0,0,0,5,0,2,1,0,0,0
Stick.Is.,1,1,0,0,0,0,0,7,0,1,0,0,0,0,25,0,0,0,0,0,0
Suomi.Is.,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
Wann.Is.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Whale.Bay,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Woody.Is.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0
Grand Total,2,1,1,1,1,2,1,100,1,6,3,1,1,2,38,1,7,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,
Row Labels,Sum of Amphiprion.clarkii,Sum of Apogon.rueppellii,Sum of Apogon.spp,Sum of Austrolabrus.maculatus,Sum of Chaetodon.plebeius,Sum of Chaetodon.assarius,Sum of Chromis.viridis,Sum of Chromis.westaustralis,Sum of Cirrhilabrus.temminckii,Sum of Coris.auricularis,Sum of Dascyllus.aruanus,Sum of Dascyllus.reticulatus,Sum of Labroides.dimidiatus,Sum of Parupeneus.spilurus,Sum of Pentapodus.nagasakiensis,Sum of Pentapodus.vitta,Sum of Pomacentrus.milleri,Sum of Stegastes.obreptus,Sum of Stethojulis.strigiventer,Sum of Suezichthys.cyanolaemus,Sum of Trachinops.brauni
Beacon.Is.,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Coral.Patches,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
Dive.Trail,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0
Fish.Point,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
Leo's.Is.,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0
Long.Is.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Newman.Is.,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0
Rat.Is.,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Stick.Is.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Suomi.Is.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Wann.Is.,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Whale.Bay,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Woody.Is.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Total,3,2,2,2,2,3,2,10,2,4,3,2,2,3,5,2,6,2,2,2,2
%,0.230769231,0.153846154,0.153846154,0.153846154,0.153846154,0.230769231,0.153846154,0.769230769,0.153846154,0.307692308,0.230769231,0.153846154,0.153846154,0.230769231,0.384615385,0.153846154,0.461538462,0.153846154,0.153846154,0.153846154,0.153846154
